Probe,chrom,chromStart,chromEnd,s,v,d,tss,g
RP11-54O7.16,1,902334,907334,+,0.01251036,5000,904834,1000904834
RP11-54O7.,1,908935,913935,+,-2.8416388,5000,911435,1000911435
RP11-54O7.2,1,911671,916671,+,-1.8416387,5000,914171,1000914171
RP11-54O7.3,1,917192,922192,-,-0.11581374,5000,919692,1000919692
SAMD,1,927812,932812,+,-0.73472357,5000,930312,1000930312
NOC2L,1,956790,961790,-,1.5023155,5000,959290,1000959290
KLHL17,1,958087,963087,+,1.513204,5000,960587,1000960587
PLEKHN,1,963997,968997,+,-0.2566763,5000,966497,1000966497
PERM,1,979593,984593,-,-1.7871909,5000,982093,1000982093
RP11-54O7.17,1,995551,1000551,-,2.042884,5000,998051,1000998051
HES4,1,997611,1002611,-,2.1993885,5000,1000111,1001000111
RP11-54O7.,1,1010693,1015693,-,-1.5420785,5000,1013193,1001013193
ISG15,1,1010923,1015923,+,-1.4546157,5000,1013423,1001013423
RP11-54O7.14,1,1052533,1057533,+,-1.7347237,5000,1055033,1001055033
RP11-54O7.18,1,1060788,1065788,-,-0.41279545,5000,1063288,1001063288
RNF223,1,1071807,1076807,-,-0.73472357,5000,1074307,1001074307
C1orf159,1,1113598,1118598,-,0.042884007,5000,1116098,1001116098
LINC01342,1,1134517,1139517,+,-2.0185165,5000,1137017,1001137017
RP11-465B22.8,1,1166857,1171857,+,-1.7871909,5000,1169357,1001169357
TTLL,1,1177197,1182197,+,-4.2201505,5000,1179697,1001179697
TNFRSF18,1,1204191,1209191,-,-1.2566763,5000,1206691,1001206691
TNFRSF4,1,1211632,1216632,-,-3.2201505,5000,1214132,1001214132
SDF4,1,1229501,1234501,-,-1.0185165,5000,1232001,1001232001
B3GALT6,1,1229765,1234765,+,-0.98748964,5000,1232265,1001232265
FAM132A,1,1244222,1249222,-,-0.45461562,5000,1246722,1001246722
RP5-902P8.12,1,1248834,1253834,-,-1.294151,5000,1251334,1001251334
UBE2J2,1,1271385,1276385,-,-1.4546157,5000,1273885,1001273885
RP5-902P8.,1,1272723,1277723,+,-1.4127955,5000,1275223,1001275223
SCNN1D,1,1278088,1283088,+,-2.3721535,5000,1280588,1001280588
ACAP3,1,1305518,1310518,-,-0.14976107,5000,1308018,1001308018
PUSL,1,1306067,1311067,+,-0.27529195,5000,1308567,1001308567
RP5-890O3.9,1,1316189,1321189,-,-1.8416387,5000,1318689,1001318689
CPSF3L,1,1322191,1327191,-,-0.787191,5000,1324691,1001324691
CPTP,1,1322267,1327267,+,-0.787191,5000,1324767,1001324767
TAS1R3,1,1328814,1333814,+,-2.0826468,5000,1331314,1001331314
DVL,1,1346612,1351612,-,0.34056455,5000,1349112,1001349112
MXRA8,1,1356035,1361035,-,-0.6351879,5000,1358535,1001358535
AURKAIP,1,1372995,1377995,-,-0.92736864,5000,1375495,1001375495
CCNL2,1,1396812,1401812,-,-0.050225396,5000,1399312,1001399312
RP4-758J18.2,1,1397027,1402027,+,-0.050225396,5000,1399527,1001399527
MRPL2,1,1404813,1409813,-,-0.787191,5000,1407313,1001407313
RP4-758J18.13,1,1406596,1411596,+,-0.13268755,5000,1409096,1001409096
RP4-758J18.7,1,1417745,1422745,+,-2.4546156,5000,1420245,1001420245
ANKRD65,1,1419269,1424269,-,-2.0826468,5000,1421769,1001421769
TMEM88B,1,1423628,1428628,+,-0.14976107,5000,1426128,1001426128
RP4-758J18.,1,1432073,1437073,-,-0.58788216,5000,1434573,1001434573
VWA,1,1433171,1438171,+,-0.7607187,5000,1435671,1001435671
ATAD3C,1,1447189,1452189,+,-2.3721535,5000,1449689,1001449689
ATAD3B,1,1469269,1474269,+,-1.5420785,5000,1471769,1001471769
ATAD3A,1,1509651,1514651,+,-0.4976844,5000,1512151,1001512151
TMEM24,1,1537857,1542857,-,-0.13268755,5000,1540357,1001540357
SSU72,1,1572369,1577369,-,0.08727813,5000,1574869,1001574869
RP5-832C2.5,1,1572475,1577475,+,0.057834353,5000,1574975,1001574975
MIB2,1,1612921,1617921,+,-0.7607187,5000,1615421,1001615421
RP11-345P4.9,1,1613295,1618295,-,-0.70918846,5000,1615795,1001615795
MMP23B,1,1629595,1634595,+,1.8799862,5000,1632095,1001632095
RP11-345P4.,1,1656825,1661825,+,0.01251036,5000,1659325,1001659325
RP11-345P4.7,1,1669490,1674490,+,-4.5420785,5000,1671990,1001671990
SLC35E2B,1,1690228,1695228,-,0.25233737,5000,1692728,1001692728
RP1-283E3.8,1,1735188,1740188,-,-2.294151,5000,1737688,1001737688
SLC35E2,1,1743492,1748492,-,-0.050225396,5000,1745992,1001745992
NADK,1,1777569,1782569,-,-0.814158,5000,1780069,1001780069
GNB,1,1888556,1893556,-,-0.2566763,5000,1891056,1001891056
RP1-140A9.,1,1888971,1893971,+,-0.3132598,5000,1891471,1001891471
CALML6,1,1912608,1917608,+,-2.1497612,5000,1915108,1001915108
TMEM52,1,1916773,1921773,-,-1.5878822,5000,1919273,1001919273
CFAP74,1,1925429,1930429,-,-3.9571161,5000,1927929,1001927929
RP11-547D24.,1,2013030,2018030,-,-2.0185165,5000,2015530,1002015530
GABRD,1,2016824,2021824,+,-0.6351879,5000,2019324,1002019324
RP11-547D24.3,1,2047151,2052151,-,0.042884007,5000,2049651,1002049651
PRKCZ,1,2047970,2052970,+,-0.06634506,5000,2050470,1002050470
RP5-892K4.,1,2142779,2147779,-,-4.2201505,5000,2145279,1002145279
RP11-181G12.2,1,2181375,2186375,-,-3.7347236,5000,2183875,1002183875
RP11-181G12.4,1,2210023,2215023,+,-1.5878822,5000,2212523,1002212523
SKI,1,2226195,2231195,+,0.22610582,5000,2228695,1002228695
RP4-713A8.,1,2324193,2329193,-,-2.3721535,5000,2326693,1002326693
RP4-740C4.7,1,2361128,2366128,-,-1.6840974,5000,2363628,1002363628
MORN,1,2389207,2394207,-,-0.95711595,5000,2391707,1002391707
RER,1,2389333,2394333,+,-0.95711595,5000,2391833,1002391833
PEX,1,2410030,2415030,-,-0.6351879,5000,2412530,1002412530
PLCH2,1,2476590,2481590,+,-2.8416388,5000,2479090,1002479090
RP3-395M20.2,1,2490758,2495758,-,-3.5420787,5000,2493258,1002493258
RP3-395M20.3,1,2491979,2496979,-,-2.6351879,5000,2494479,1002494479
PANK4,1,2524100,2529100,-,-0.018516535,5000,2526600,1002526600
HES5,1,2527745,2532745,-,1.2261058,5000,2530245,1002530245
RP3-395M20.12,1,2543965,2548965,+,-0.51971066,5000,2546465,1002546465
TNFRSF14,1,2553866,2558866,+,-2.3721535,5000,2556366,1002556366
RP3-395M20.8,1,2554511,2559511,-,-2.5420785,5000,2557011,1002557011
RP3-395M20.7,1,2563910,2568910,+,-3.2201505,5000,2566410,1002566410
RP3-395M20.9,1,2579060,2584060,+,-3.7347236,5000,2581560,1002581560
FAM213B,1,2584275,2589275,+,-0.58788216,5000,2586775,1002586775
RP13-436F16.,1,2630068,2635068,+,-2.294151,5000,2632568,1002632568
MMEL,1,2630490,2635490,-,-2.2201502,5000,2632990,1002632990
TTC34,1,2799221,2804221,-,-4.5420785,5000,2801721,1002801721
RP11-740P5.2,1,2810192,2815192,-,-3.9571161,5000,2812692,1002812692
RP11-740P5.3,1,2812498,2817498,-,-4.2201505,5000,2814998,1002814998
ACTRT2,1,3018983,3023983,+,-4.957116,5000,3021483,1003021483
LINC00982,1,3061286,3066286,-,0.75254226,5000,3063786,1003063786
PRDM16,1,3066711,3071711,+,2.888374,5000,3069211,1003069211
RP1-163G9.2,1,3131209,3136209,-,-2.8416388,5000,3133709,1003133709
RP11-193J6.,1,3203488,3208488,+,-3.0826468,5000,3205988,1003205988
RP11-22L13.,1,3307596,3312596,-,-4.5420785,5000,3310096,1003310096
ARHGEF16,1,3451926,3456926,+,-1.5420785,5000,3454426,1003454426
RP11-168F9.2,1,3484746,3489746,+,-2.4546156,5000,3487246,1003487246
MEGF6,1,3528948,3533948,-,-1.7871909,5000,3531448,1003531448
RP11-46F15.2,1,3622243,3627243,-,-0.4976844,5000,3624743,1003624743
TPRG1L,1,3622502,3627502,+,-0.47598928,5000,3625002,1003625002
WRAP73,1,3647573,3652573,-,2.2812889,5000,3650073,1003650073
RP5-1092A11.5,1,3666272,3671272,-,-2.0826468,5000,3668772,1003668772
RP5-1092A11.2,1,3711798,3716798,-,-3.2201505,5000,3714298,1003714298
CCDC27,1,3749898,3754898,+,-2.3721535,5000,3752398,1003752398
SMIM,1,3770288,3775288,+,-1.1845264,5000,3772788,1003772788
RP1-286D6.5,1,3782508,3787508,+,-1.7871909,5000,3785008,1003785008
LRRC47,1,3794004,3799004,-,-0.86965317,5000,3796504,1003796504
CEP104,1,3854699,3859699,-,-0.41279545,5000,3857199,1003857199
C1orf174,1,3897785,3902785,-,-0.73472357,5000,3900285,1003900285
LINC01134,1,3897916,3902916,+,-0.73472357,5000,3900416,1003900416
LINC01346,1,3938117,3943117,+,-2.0185165,5000,3940617,1003940617
RP13-614K11.2,1,3946480,3951480,-,-3.9571161,5000,3948980,1003948980
RP5-1166F10.,1,4409551,4414551,+,-2.9571161,5000,4412051,1004412051
RP1-37J18.,1,4549645,4554645,-,-3.7347236,5000,4552145,1004552145
RP1-37J18.2,1,4569048,4574048,+,-2.6351879,5000,4571548,1004571548
AJAP,1,4652545,4657545,+,1.1017777,5000,4655045,1004655045
RP11-542C10.,1,5088399,5093399,-,-2.8416388,5000,5090899,1005090899
RP1-58B11.,1,5490478,5495478,+,-3.5420787,5000,5492978,1005492978
RP11-154H17.,1,5665795,5670795,-,-2.3721535,5000,5668295,1005668295
KCNAB2,1,5989863,5994863,+,-0.18452649,5000,5992363,1005992363
NPHP4,1,5989971,5994971,-,-0.2201504,5000,5992471,1005992471
CHD5,1,6177623,6182623,-,1.3034115,5000,6180123,1006180123
RPL22,1,6197112,6202112,-,-1.0502254,5000,6199612,1006199612
RP1-120G22.,1,6203280,6208280,-,-0.08264687,5000,6205780,1006205780
RNF207,1,6203676,6208676,+,-0.06634506,5000,6206176,1006206176
ICMT,1,6233440,6238440,-,-0.98748964,5000,6235940,1006235940
LINC00337,1,6235271,6240271,+,-0.787191,5000,6237771,1006237771
GPR153,1,6258475,6263475,-,-0.23829775,5000,6260975,1006260975
ACOT7,1,6383313,6388313,-,-1.7871909,5000,6385813,1006385813
RP1-202O8.3,1,6391055,6396055,+,-0.2201504,5000,6393555,1006393555
HES2,1,6417419,6422419,-,1.9577674,5000,6419919,1006419919
ESPN,1,6422288,6427288,+,1.3945594,5000,6424788,1006424788
RP1-202O8.2,1,6444506,6449506,-,0.43520147,5000,6447006,1006447006
TNFRSF25,1,6463695,6468695,-,-1.7347237,5000,6466195,1006466195
PLEKHG5,1,6517509,6522509,-,-2.0826468,5000,6520009,1006520009
NOL9,1,6552035,6557035,-,-1.2201505,5000,6554535,1006554535
TAS1R,1,6552681,6557681,+,-1.2566763,5000,6555181,1006555181
ZBTB48,1,6577548,6582548,+,-1.6351879,5000,6580048,1006580048
KLHL2,1,6600369,6605369,-,-0.00291968,5000,6602869,1006602869
PHF13,1,6611185,6616185,+,0.13034685,5000,6613685,1006613685
THAP3,1,6622366,6627366,+,-0.98748964,5000,6624866,1006624866
DNAJC,1,6699424,6704424,-,-1.5420785,5000,6701924,1006701924
RP11-242F24.,1,6722137,6727137,+,-2.9571161,5000,6724637,1006724637
RP11-312B8.,1,6782343,6787343,-,-0.6113411,5000,6784843,1006784843
CAMTA,1,6782824,6787824,+,-0.56479853,5000,6785324,1006785324
RP11-334N17.,1,7011779,7016779,-,-4.2201505,5000,7014279,1007014279
CAMTA1-IT,1,7366442,7371442,+,-3.0826468,5000,7368942,1007368942
RP3-453P22.2,1,7387254,7392254,-,-2.294151,5000,7389754,1007389754
RP4-549F15.,1,7439054,7444054,-,-3.5420787,5000,7441554,1007441554
RP11-338N10.,1,7692344,7697344,-,-2.8416388,5000,7694844,1007694844
RP11-338N10.2,1,7696372,7701372,-,-2.294151,5000,7698872,1007698872
RP11-338N10.3,1,7698470,7703470,-,-0.73472357,5000,7700970,1007700970
VAMP3,1,7768769,7773769,+,-1.4976845,5000,7771269,1007771269
RP3-467L1.6,1,7773883,7778883,+,-2.7347236,5000,7776383,1007776383
PER3,1,7782154,7787154,+,-0.92736864,5000,7784654,1007784654
RP3-467L1.4,1,7824842,7829842,-,-2.294151,5000,7827342,1007827342
UTS2,1,7851012,7856012,-,-2.7347236,5000,7853512,1007853512
TNFRSF9,1,7938366,7943366,-,-1.3326252,5000,7940866,1007940866
PARK7,1,7959192,7964192,+,-0.95711595,5000,7961692,1007961692
ERRFI,1,8023808,8028808,-,-0.06634506,5000,8026308,1008026308
RP11-431K24.,1,8024238,8029238,+,-0.08264687,5000,8026738,1008026738
RP11-431K24.3,1,8206172,8211172,+,-2.1497612,5000,8208672,1008208672
RP11-431K24.4,1,8218029,8223029,-,-3.5420787,5000,8220529,1008220529
SLC45A,1,8315326,8320326,+,-1.0185165,5000,8317826,1008317826
RP5-1115A15.,1,8423138,8428138,+,-0.86965317,5000,8425638,1008425638
RP4-633I8.4,1,8804551,8809551,-,-2.0826468,5000,8807051,1008807051
RERE,1,8814965,8819965,-,-0.3923314,5000,8817465,1008817465
ENO1-IT,1,8875507,8880507,-,0.23928122,5000,8878007,1008878007
ENO,1,8876190,8881190,-,0.18584196,5000,8878690,1008878690
CA6,1,8943383,8948383,+,-1.8416387,5000,8945883,1008945883
SLC2A7,1,9023845,9028845,-,-2.6351879,5000,9026345,1009026345
SLC2A5,1,9067216,9072216,-,-2.294151,5000,9069716,1009069716
GPR157,1,9108870,9113870,-,-2.7347236,5000,9111370,1009111370
RP3-510D11.2,1,9179704,9184704,+,0.7247081,5000,9182204,1009182204
RP3-510D11.,1,9200119,9205119,-,-1.4127955,5000,9202619,1009202619
H6PD,1,9232275,9237275,+,-0.3132598,5000,9234775,1009234775
SPSB,1,9290380,9295380,+,0.25233737,5000,9292880,1009292880
RP13-392I16.,1,9500971,9505971,-,-3.3721535,5000,9503471,1009503471
SLC25A33,1,9536982,9541982,+,-0.7607187,5000,9539482,1009539482
TMEM2,1,9594397,9599397,+,-3.9571161,5000,9596897,1009596897
PIK3CD,1,9649245,9654245,+,-0.29415098,5000,9651745,1009651745
CLSTN,1,9822026,9827026,-,-0.51971066,5000,9824526,1009824526
RP11-84A14.5,1,9845818,9850818,+,-2.1497612,5000,9848318,1009848318
CTNNBIP,1,9907763,9912763,-,-0.814158,5000,9910263,1009910263
RP11-84A14.4,1,9940423,9945423,+,-1.7871909,5000,9942923,1009942923
LZIC,1,9940829,9945829,-,-1.8416387,5000,9943329,1009943329
NMNAT,1,9940928,9945928,+,-1.8416387,5000,9943428,1009943428
RP11-807G9.2,1,9980641,9985641,+,-1.8416387,5000,9983141,1009983141
RBP7,1,9994716,9999716,+,0.7153093,5000,9997216,1009997216
UBE4B,1,10031096,10036096,+,-0.814158,5000,10033596,1010033596
KIF1B,1,10209116,10214116,+,-0.47598928,5000,10211616,1010211616
PGD,1,10396580,10401580,+,-0.45461562,5000,10399080,1010399080
APITD1-CORT,1,10427602,10432602,+,-0.86965317,5000,10430102,1010430102
APITD,1,10427943,10432943,+,-0.86965317,5000,10430443,1010430443
RP4-736L20.3,1,10428177,10433177,-,-0.95711595,5000,10430677,1010430677
CORT,1,10447219,10452219,+,-2.294151,5000,10449719,1010449719
RP5-1113E3.3,1,10456055,10461055,+,-2.4546156,5000,10458555,1010458555
DFFA,1,10470026,10475026,-,-0.4976844,5000,10472526,1010472526
PEX14,1,10472387,10477387,+,-0.5420785,5000,10474887,1010474887
RP4-734G22.3,1,10636741,10641741,+,1.0726314,5000,10639241,1010639241
CASZ,1,10794150,10799150,-,1.6177928,5000,10796650,1010796650
C1orf127,1,10961701,10966701,-,-2.6351879,5000,10964201,1010964201
TARDBP,1,11009900,11014900,+,-1.0185165,5000,11012400,1011012400
TARDBP,1,11010162,11015162,+,-1.0185165,5000,11012662,1011012662
RP4-635E18.8,1,11027159,11032159,+,-1.1158137,5000,11029659,1011029659
MASP2,1,11044723,11049723,-,-2.7347236,5000,11047223,1011047223
SRM,1,11057524,11062524,-,-1.0185165,5000,11060024,1011060024
RP4-635E18.7,1,11065971,11070971,+,-1.8982222,5000,11068471,1011068471
EXOSC,1,11097381,11102381,-,-2.1497612,5000,11099881,1011099881
ANGPTL7,1,11186841,11191841,+,-3.2201505,5000,11189341,1011189341
MTOR,1,11260007,11265007,-,-1.294151,5000,11262507,1011262507
UBIAD,1,11270706,11275706,+,-1.2566763,5000,11273206,1011273206
PTCHD2,1,11476738,11481738,+,-0.4976844,5000,11479238,1011479238
RP1-69M21.2,1,11607031,11612031,+,-2.1497612,5000,11609531,1011609531
FBXO2,1,11652182,11657182,-,-1.1845264,5000,11654682,1011654682
FBXO44,1,11652401,11657401,+,-1.1497611,5000,11654901,1011654901
FBXO6,1,11661624,11666624,+,-0.7607187,5000,11664124,1011664124
MAD2L2,1,11689150,11694150,-,0.18584196,5000,11691650,1011691650
DRAXIN,1,11689229,11694229,+,0.18584196,5000,11691729,1011691729
AGTRAP,1,11733655,11738655,+,-1.3721535,5000,11736155,1011736155
C1orf167,1,11764242,11769242,+,-2.0185165,5000,11766742,1011766742
RP11-56N19.5,1,11777119,11782119,-,-3.2201505,5000,11779619,1011779619
MTHFR,1,11800745,11805745,-,-1.0826468,5000,11803245,1011803245
CLCN6,1,11803711,11808711,+,-1.294151,5000,11806211,1011806211
NPPB,1,11856431,11861431,-,-1.7871909,5000,11858931,1011858931
KIAA2013,1,11923928,11928928,-,-1.294151,5000,11926428,1011926428
PLOD,1,11932253,11937253,+,-1.2566763,5000,11934753,1011934753
MFN2,1,11977812,11982812,+,-1.4546157,5000,11980312,1011980312
MIIP,1,12016966,12021966,+,-0.45461562,5000,12019466,1012019466
RP5-888M10.2,1,12525224,12530224,+,-5.5420785,5000,12527724,1012527724
DHRS3,1,12615231,12620231,-,-0.37215346,5000,12617731,1012617731
RP11-474O21.5,1,12616744,12621744,-,-0.4976844,5000,12619244,1012619244
AADACL4,1,12642047,12647047,+,-1.6840974,5000,12644547,1012644547
AADACL3,1,12713615,12718615,+,-1.7871909,5000,12716115,1012716115
C1orf158,1,12743715,12748715,+,-2.8416388,5000,12746215,1012746215
PRAMEF12,1,12772341,12777341,+,-3.9571161,5000,12774841,1012774841
PRAMEF,1,12788897,12793897,+,-2.8416388,5000,12791397,1012791397
RP5-845O24.8,1,12820659,12825659,-,-3.2201505,5000,12823159,1012823159
PRAMEF,1,12828910,12833910,-,-1.8416387,5000,12831410,1012831410
HNRNPCL,1,12846225,12851225,-,-1.7347237,5000,12848725,1012848725
PRAMEF2,1,12854586,12859586,+,-3.2201505,5000,12857086,1012857086
PRAMEF4,1,12883701,12888701,-,-3.0826468,5000,12886201,1012886201
PRAMEF,1,12895770,12900770,-,-2.294151,5000,12898270,1012898270
PRAMEF7,1,12915125,12920125,+,-2.3721535,5000,12917625,1012917625
PRAMEF6,1,12945080,12950080,-,-3.3721535,5000,12947580,1012947580
HNRNPCL3,1,13058369,13063369,+,-3.3721535,5000,13060869,1013060869
PRAMEF26,1,13068353,13073353,+,-2.5420785,5000,13070853,1013070853
HNRNPCL2,1,13114354,13119354,-,-4.5420785,5000,13116854,1013116854
RP13-221M14.2,1,13144960,13149960,-,-2.6351879,5000,13147460,1013147460
RP13-221M14.,1,13153461,13158461,-,-2.294151,5000,13155961,1013155961
HNRNPCL4,1,13162967,13167967,-,-2.7347236,5000,13165467,1013165467
PRAMEF25,1,13169955,13174955,+,-3.3721535,5000,13172455,1013172455
PRAMEF5,1,13256747,13261747,+,-2.5420785,5000,13259247,1013259247
PRAMEF8,1,13282654,13287654,-,-3.0826468,5000,13285154,1013285154
PRAMEF9,1,13313081,13318081,+,-2.9571161,5000,13315581,1013315581
RP11-219C24.,1,13321539,13326539,+,-6.5420785,5000,13324039,1013324039
PRAMEF14,1,13344634,13349634,-,-2.1497612,5000,13347134,1013347134
PRAMEF19,1,13369193,13374193,-,-2.6351879,5000,13371693,1013371693
PRAMEF17,1,13387132,13392132,+,-3.9571161,5000,13389632,1013389632
PRAMEF2,1,13413851,13418851,+,-3.3721535,5000,13416351,1013416351
RP4-597A16.2,1,13510720,13515720,+,0.30341154,5000,13513220,1013513220
LRRC38,1,13511548,13516548,-,0.26527643,5000,13514048,1013514048
PDPN,1,13580965,13585965,+,-1.4127955,5000,13583465,1013583465
CTA-520D8.2,1,13657410,13662410,-,-2.7347236,5000,13659910,1013659910
PRDM2,1,13702355,13707355,+,-2.4546156,5000,13704855,1013704855
RP11-344F13.,1,14220618,14225618,-,-3.2201505,5000,14223118,1014223118
RP4-704D23.,1,14348523,14353523,-,-3.7347236,5000,14351023,1014351023
KAZN,1,14596204,14601204,+,-1.0502254,5000,14598704,1014598704
TMEM5,1,15151289,15156289,+,-0.70918846,5000,15153789,1015153789
RP3-467K16.7,1,15332964,15337964,-,-2.2201502,5000,15335464,1015335464
RP3-467K16.2,1,15341376,15346376,-,-3.5420787,5000,15343876,1015343876
FHAD,1,15342931,15347931,+,-2.9571161,5000,15345431,1015345431
RP3-467K16.4,1,15406933,15411933,-,-0.787191,5000,15409433,1015409433
EFHD2,1,15407395,15412395,+,-0.73472357,5000,15409895,1015409895
CTRC,1,15435939,15440939,+,-3.9571161,5000,15438439,1015438439
CELA2A,1,15454229,15459229,+,-1.957116,5000,15456729,1015456729
CELA2B,1,15473601,15478601,+,-2.8416388,5000,15476101,1015476101
CASP9,1,15521795,15526795,-,0.07263135,5000,15524295,1015524295
RP4-680D5.8,1,15563456,15568456,-,-3.3721535,5000,15565956,1015565956
AGMAT,1,15582610,15587610,-,-1.7347237,5000,15585110,1015585110
RP4-680D5.2,1,15601126,15606126,-,-1.6840974,5000,15603626,1015603626
DDI2,1,15615000,15620000,+,-1.1845264,5000,15617500,1015617500
RSC1A,1,15657369,15662369,+,-2.9571161,5000,15659869,1015659869
RP4-680D5.9,1,15680628,15685628,-,-1.294151,5000,15683128,1015683128
PLEKHM2,1,15681832,15686832,+,-1.1497611,5000,15684332,1015684332
SLC25A34,1,15733905,15738905,+,-4.2201505,5000,15736405,1015736405
RP11-288I21.,1,15734396,15739396,-,-3.3721535,5000,15736896,1015736896
TMEM82,1,15739922,15744922,+,-2.4546156,5000,15742422,1015742422
RP11-169K16.4,1,15747396,15752396,-,-2.1497612,5000,15749896,1015749896
FBLIM,1,15754159,15759159,+,-0.7607187,5000,15756659,1015756659
UQCRHL,1,15806848,15811848,-,-3.2201505,5000,15809348,1015809348
SPEN,1,15845364,15850364,+,-0.47598928,5000,15847864,1015847864
FLJ37453,1,15845647,15850647,-,-0.41279545,5000,15848147,1015848147
ZBTB17,1,15973626,15978626,-,-2.1497612,5000,15976126,1015976126
C1orf64,1,16001736,16006736,+,-1.3721535,5000,16004236,1016004236
RP11-5P18.5,1,16004171,16009171,-,-1.1158137,5000,16006671,1016006671
HSPB7,1,16017094,16022094,-,-2.7347236,5000,16019594,1016019594
CLCNKA,1,16019552,16024552,+,-2.5420785,5000,16022052,1016022052
CLCNKB,1,16041277,16046277,+,-4.2201505,5000,16043777,1016043777
FAM131C,1,16071126,16076126,-,-1.6840974,5000,16073626,1016073626
RP11-276H7.2,1,16152711,16157711,+,-0.56479853,5000,16155211,1016155211
RP11-276H7.3,1,16156766,16161766,+,-1.7871909,5000,16159266,1016159266
ARHGEF19,1,16210109,16215109,-,-2.294151,5000,16212609,1016212609
RSG,1,16234662,16239662,-,-0.6351879,5000,16237162,1016237162
FBXO42,1,16349954,16354954,-,-1.4127955,5000,16352454,1016352454
SZRD,1,16364583,16369583,+,-1.4976845,5000,16367083,1016367083
SPATA2,1,16434924,16439924,-,-2.6351879,5000,16437424,1016437424
NECAP2,1,16438172,16443172,+,-1.2566763,5000,16440672,1016440672
RP4-798A10.2,1,16458448,16463448,+,-3.3721535,5000,16460948,1016460948
RP4-798A10.7,1,16512145,16517145,+,1.0125104,5000,16514645,1016514645
RP4-798A10.4,1,16518194,16523194,+,-2.0826468,5000,16520694,1016520694
RP5-875O13.,1,16533149,16538149,-,1.2194728,5000,16535649,1016535649
FAM231C,1,16536566,16541566,+,-0.73472357,5000,16539066,1016539066
NBPF,1,16602434,16607434,-,-0.7607187,5000,16604934,1016604934
RP5-1182A14.5,1,16614891,16619891,+,-0.95711595,5000,16617391,1016617391
FAM231A,1,16670503,16675503,+,-0.5420785,5000,16673003,1016673003
RP1-163M9.7,1,16699046,16704046,+,1.7662606,5000,16701546,1016701546
FAM231A,1,16731961,16736961,-,-0.4976844,5000,16734461,1016734461
RP11-108M9.,1,16850629,16855629,-,-1.1497611,5000,16853129,1016853129
RP11-108M9.2,1,16852907,16857907,+,-1.4127955,5000,16855407,1016855407
RP11-108M9.3,1,16868445,16873445,+,0.60766864,5000,16870945,1016870945
RP11-108M9.4,1,16887149,16892149,-,-1.7347237,5000,16889649,1016889649
RP11-108M9.6,1,16902276,16907276,-,-1.1158137,5000,16904776,1016904776
CROCC,1,16919450,16924450,+,-2.5420785,5000,16921950,1016921950
RP1-37C10.3,1,16976426,16981426,+,-0.8982223,5000,16978926,1016978926
MFAP2,1,16978335,16983335,-,-0.73472357,5000,16980835,1016980835
ATP13A2,1,17009272,17014272,-,-1.3326252,5000,17011772,1017011772
SDHB,1,17051670,17056670,-,-1.2566763,5000,17054170,1017054170
PADI2,1,17116935,17121935,-,-1.1497611,5000,17119435,1017119435
RP11-380J14.,1,17187283,17192283,+,-2.5420785,5000,17189783,1017189783
PADI,1,17202626,17207626,+,-3.7347236,5000,17205126,1017205126
PADI3,1,17246598,17251598,+,-2.6351879,5000,17249098,1017249098
